17:15:29.327 | === Inference Log Started ===
17:15:32.753 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
17:15:47.605 | FPS:4.1 | mouse_delta:(+0.171, +0.300) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.432 | back:0.482 | left:0.539 | right:0.492 | jump:0.549 | crouch:0.453 | shift:0.455 | weapon1:0.553 | weapon2:0.453 | weapon3:0.490 | c4:0.457 | reload:0.467 | he:0.568 | molotov:0.433 | smoke:0.554 | flash:0.503 | decoy:0.541 | use:0.487
17:15:47.865 | FPS:4.1 | mouse_delta:(+0.173, +0.298) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.433 | back:0.481 | left:0.539 | right:0.491 | jump:0.550 | crouch:0.453 | shift:0.456 | weapon1:0.553 | weapon2:0.453 | weapon3:0.490 | c4:0.457 | reload:0.468 | he:0.568 | molotov:0.433 | smoke:0.554 | flash:0.503 | decoy:0.540 | use:0.486
17:15:48.131 | FPS:4.0 | mouse_delta:(+0.174, +0.296) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.433 | back:0.480 | left:0.540 | right:0.490 | jump:0.551 | crouch:0.452 | shift:0.456 | weapon1:0.552 | weapon2:0.454 | weapon3:0.490 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.433 | smoke:0.554 | flash:0.503 | decoy:0.540 | use:0.486
17:15:48.370 | FPS:4.0 | mouse_delta:(+0.175, +0.296) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.433 | back:0.480 | left:0.540 | right:0.490 | jump:0.552 | crouch:0.452 | shift:0.456 | weapon1:0.552 | weapon2:0.453 | weapon3:0.490 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.433 | smoke:0.553 | flash:0.503 | decoy:0.539 | use:0.486
17:15:48.370 | DIAG: scene_frames=16 | radar_frames=32 | state=NO | audio=YES
17:15:48.629 | FPS:4.0 | mouse_delta:(+0.175, +0.294) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.433 | back:0.480 | left:0.540 | right:0.490 | jump:0.553 | crouch:0.451 | shift:0.457 | weapon1:0.552 | weapon2:0.454 | weapon3:0.490 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.433 | smoke:0.553 | flash:0.504 | decoy:0.539 | use:0.485
17:15:48.879 | FPS:4.0 | mouse_delta:(+0.175, +0.295) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.433 | back:0.480 | left:0.540 | right:0.489 | jump:0.553 | crouch:0.451 | shift:0.457 | weapon1:0.552 | weapon2:0.453 | weapon3:0.490 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.433 | smoke:0.553 | flash:0.504 | decoy:0.539 | use:0.485
17:15:49.179 | FPS:4.0 | mouse_delta:(+0.175, +0.295) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.434 | back:0.480 | left:0.540 | right:0.489 | jump:0.554 | crouch:0.451 | shift:0.457 | weapon1:0.551 | weapon2:0.453 | weapon3:0.489 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.433 | smoke:0.553 | flash:0.504 | decoy:0.539 | use:0.485
17:15:49.436 | FPS:4.0 | mouse_delta:(+0.174, +0.295) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.434 | back:0.479 | left:0.541 | right:0.489 | jump:0.554 | crouch:0.451 | shift:0.457 | weapon1:0.551 | weapon2:0.453 | weapon3:0.490 | c4:0.458 | reload:0.468 | he:0.569 | molotov:0.432 | smoke:0.553 | flash:0.504 | decoy:0.539 | use:0.485
17:15:49.677 | FPS:4.0 | mouse_delta:(+0.174, +0.296) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.513 | forward:0.434 | back:0.480 | left:0.541 | right:0.489 | jump:0.554 | crouch:0.451 | shift:0.457 | weapon1:0.551 | weapon2:0.453 | weapon3:0.489 | c4:0.458 | reload:0.468 | he:0.570 | molotov:0.432 | smoke:0.553 | flash:0.504 | decoy:0.539 | use:0.485
