16:42:47.717 | === Inference Log Started ===
16:43:07.749 | FPS:2.7 | mouse_delta:(-0.024, -0.172) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.481 | second_fire:0.519 | forward:0.552 | back:0.449 | left:0.466 | right:0.511 | jump:0.500 | crouch:0.399 | shift:0.535 | weapon1:0.448 | weapon2:0.463 | weapon3:0.558 | c4:0.550 | reload:0.575 | he:0.535 | molotov:0.448 | smoke:0.502 | flash:0.510 | decoy:0.443 | use:0.563
16:43:08.161 | FPS:2.7 | mouse_delta:(-0.024, -0.173) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.481 | second_fire:0.519 | forward:0.552 | back:0.449 | left:0.466 | right:0.511 | jump:0.500 | crouch:0.399 | shift:0.535 | weapon1:0.448 | weapon2:0.463 | weapon3:0.558 | c4:0.550 | reload:0.575 | he:0.535 | molotov:0.448 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.563
16:43:08.554 | FPS:2.7 | mouse_delta:(-0.024, -0.174) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.519 | forward:0.552 | back:0.449 | left:0.466 | right:0.511 | jump:0.499 | crouch:0.399 | shift:0.536 | weapon1:0.448 | weapon2:0.463 | weapon3:0.557 | c4:0.550 | reload:0.575 | he:0.535 | molotov:0.448 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.562
16:43:08.928 | FPS:2.7 | mouse_delta:(-0.024, -0.175) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.519 | forward:0.552 | back:0.449 | left:0.465 | right:0.511 | jump:0.499 | crouch:0.399 | shift:0.536 | weapon1:0.448 | weapon2:0.463 | weapon3:0.557 | c4:0.550 | reload:0.574 | he:0.535 | molotov:0.448 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.562
16:43:09.323 | FPS:2.7 | mouse_delta:(-0.023, -0.177) | mouse_px:(-1, -8) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.519 | forward:0.552 | back:0.449 | left:0.465 | right:0.511 | jump:0.499 | crouch:0.399 | shift:0.536 | weapon1:0.448 | weapon2:0.463 | weapon3:0.557 | c4:0.550 | reload:0.574 | he:0.535 | molotov:0.448 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.562
16:43:09.711 | FPS:2.7 | mouse_delta:(-0.023, -0.178) | mouse_px:(-1, -8) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.518 | forward:0.552 | back:0.449 | left:0.465 | right:0.510 | jump:0.499 | crouch:0.399 | shift:0.536 | weapon1:0.449 | weapon2:0.463 | weapon3:0.556 | c4:0.550 | reload:0.574 | he:0.535 | molotov:0.449 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.562
16:43:10.108 | FPS:2.7 | mouse_delta:(-0.023, -0.179) | mouse_px:(-1, -8) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.518 | forward:0.552 | back:0.449 | left:0.464 | right:0.510 | jump:0.499 | crouch:0.399 | shift:0.536 | weapon1:0.449 | weapon2:0.463 | weapon3:0.556 | c4:0.550 | reload:0.574 | he:0.535 | molotov:0.449 | smoke:0.501 | flash:0.510 | decoy:0.442 | use:0.561
16:43:10.490 | FPS:2.6 | mouse_delta:(-0.022, -0.180) | mouse_px:(-1, -8) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.518 | forward:0.552 | back:0.449 | left:0.464 | right:0.510 | jump:0.499 | crouch:0.399 | shift:0.537 | weapon1:0.449 | weapon2:0.463 | weapon3:0.556 | c4:0.550 | reload:0.573 | he:0.535 | molotov:0.449 | smoke:0.500 | flash:0.510 | decoy:0.442 | use:0.561
16:43:10.888 | FPS:2.6 | mouse_delta:(-0.021, -0.181) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,w] | keys: fire:0.480 | second_fire:0.518 | forward:0.552 | back:0.449 | left:0.464 | right:0.509 | jump:0.499 | crouch:0.399 | shift:0.537 | weapon1:0.449 | weapon2:0.463 | weapon3:0.555 | c4:0.549 | reload:0.573 | he:0.535 | molotov:0.449 | smoke:0.500 | flash:0.510 | decoy:0.441 | use:0.560
16:43:11.277 | FPS:2.6 | mouse_delta:(-0.021, -0.182) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.479 | second_fire:0.517 | forward:0.553 | back:0.449 | left:0.463 | right:0.509 | jump:0.499 | crouch:0.399 | shift:0.537 | weapon1:0.449 | weapon2:0.463 | weapon3:0.555 | c4:0.549 | reload:0.573 | he:0.535 | molotov:0.449 | smoke:0.500 | flash:0.510 | decoy:0.441 | use:0.560
16:43:11.669 | FPS:2.6 | mouse_delta:(-0.020, -0.182) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.479 | second_fire:0.517 | forward:0.553 | back:0.448 | left:0.463 | right:0.509 | jump:0.499 | crouch:0.399 | shift:0.537 | weapon1:0.449 | weapon2:0.463 | weapon3:0.555 | c4:0.549 | reload:0.573 | he:0.535 | molotov:0.449 | smoke:0.500 | flash:0.510 | decoy:0.441 | use:0.560
16:43:12.063 | FPS:2.6 | mouse_delta:(-0.020, -0.183) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.479 | second_fire:0.517 | forward:0.553 | back:0.448 | left:0.463 | right:0.509 | jump:0.498 | crouch:0.399 | shift:0.537 | weapon1:0.449 | weapon2:0.463 | weapon3:0.554 | c4:0.549 | reload:0.572 | he:0.535 | molotov:0.449 | smoke:0.499 | flash:0.511 | decoy:0.440 | use:0.560
16:43:12.452 | FPS:2.6 | mouse_delta:(-0.019, -0.183) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.479 | second_fire:0.517 | forward:0.553 | back:0.448 | left:0.463 | right:0.509 | jump:0.498 | crouch:0.399 | shift:0.538 | weapon1:0.449 | weapon2:0.463 | weapon3:0.554 | c4:0.548 | reload:0.572 | he:0.535 | molotov:0.449 | smoke:0.499 | flash:0.511 | decoy:0.440 | use:0.560
16:43:12.868 | FPS:2.6 | mouse_delta:(-0.019, -0.183) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.480 | second_fire:0.516 | forward:0.553 | back:0.448 | left:0.463 | right:0.509 | jump:0.498 | crouch:0.399 | shift:0.538 | weapon1:0.448 | weapon2:0.463 | weapon3:0.554 | c4:0.548 | reload:0.572 | he:0.535 | molotov:0.448 | smoke:0.499 | flash:0.511 | decoy:0.440 | use:0.560
16:43:13.322 | FPS:2.6 | mouse_delta:(-0.018, -0.183) | mouse_px:(+0, -8) | pressed:[3,4,5,d,e,f,mouse2,r,shift,w] | keys: fire:0.480 | second_fire:0.516 | forward:0.553 | back:0.448 | left:0.462 | right:0.509 | jump:0.498 | crouch:0.399 | shift:0.538 | weapon1:0.448 | weapon2:0.463 | weapon3:0.554 | c4:0.548 | reload:0.572 | he:0.535 | molotov:0.448 | smoke:0.498 | flash:0.512 | decoy:0.439 | use:0.560
