16:57:12.112 | === Inference Log Started ===
16:57:16.457 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
16:57:26.891 | FPS:5.4 | mouse_delta:(-0.087, +0.213) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.509 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.466 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.081 | FPS:5.4 | mouse_delta:(-0.087, +0.214) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.509 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.267 | FPS:5.4 | mouse_delta:(-0.087, +0.215) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.516 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.442 | FPS:5.4 | mouse_delta:(-0.087, +0.215) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.637 | FPS:5.4 | mouse_delta:(-0.087, +0.216) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.824 | FPS:5.4 | mouse_delta:(-0.087, +0.216) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.525 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.542 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:27.995 | FPS:5.4 | mouse_delta:(-0.087, +0.217) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:28.163 | FPS:5.4 | mouse_delta:(-0.087, +0.217) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.574 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:28.349 | FPS:5.4 | mouse_delta:(-0.086, +0.217) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.477 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:28.535 | FPS:5.4 | mouse_delta:(-0.086, +0.218) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.380 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:28.721 | FPS:5.4 | mouse_delta:(-0.086, +0.218) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.506 | use:0.459
16:57:28.907 | FPS:5.4 | mouse_delta:(-0.085, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:28.907 | DIAG: scene_frames=16 | radar_frames=32 | state=NO | audio=YES
16:57:29.084 | FPS:5.4 | mouse_delta:(-0.085, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.505 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:29.259 | FPS:5.4 | mouse_delta:(-0.085, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.555 | back:0.450 | left:0.506 | right:0.541 | jump:0.393 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:29.439 | FPS:5.5 | mouse_delta:(-0.084, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.506 | right:0.541 | jump:0.394 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.490 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:29.619 | FPS:5.5 | mouse_delta:(-0.083, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.554 | back:0.450 | left:0.506 | right:0.541 | jump:0.394 | crouch:0.443 | shift:0.575 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.491 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:29.784 | FPS:5.5 | mouse_delta:(-0.082, +0.219) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.550 | forward:0.554 | back:0.451 | left:0.506 | right:0.541 | jump:0.395 | crouch:0.443 | shift:0.576 | weapon1:0.560 | weapon2:0.508 | weapon3:0.515 | c4:0.491 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.505 | use:0.459
16:57:29.962 | FPS:5.5 | mouse_delta:(-0.081, +0.218) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.551 | forward:0.554 | back:0.451 | left:0.506 | right:0.541 | jump:0.395 | crouch:0.443 | shift:0.576 | weapon1:0.560 | weapon2:0.509 | weapon3:0.515 | c4:0.491 | reload:0.564 | he:0.476 | molotov:0.379 | smoke:0.465 | flash:0.459 | decoy:0.504 | use:0.459
16:57:30.135 | FPS:5.5 | mouse_delta:(-0.079, +0.217) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.551 | forward:0.554 | back:0.451 | left:0.506 | right:0.541 | jump:0.395 | crouch:0.443 | shift:0.576 | weapon1:0.560 | weapon2:0.509 | weapon3:0.515 | c4:0.491 | reload:0.564 | he:0.475 | molotov:0.378 | smoke:0.465 | flash:0.459 | decoy:0.504 | use:0.459
16:57:30.299 | FPS:5.5 | mouse_delta:(-0.077, +0.216) | mouse_px:(-3, +9) | pressed:[none] | keys: fire:0.526 | second_fire:0.551 | forward:0.553 | back:0.451 | left:0.506 | right:0.540 | jump:0.396 | crouch:0.444 | shift:0.576 | weapon1:0.560 | weapon2:0.510 | weapon3:0.515 | c4:0.491 | reload:0.564 | he:0.475 | molotov:0.378 | smoke:0.465 | flash:0.459 | decoy:0.504 | use:0.459
